PlayerID,Timberthrax 3000,Timberthrax 2000,Quendor Pro
P1,724,93,420
P2,448,80,176
P3,227,154,395
P4,485,57,146
P5,430,199,37
P6,558,169,433
P7,397,203,186
P8,266,97,79
P9,654,175,255
P10,107,134,38
P11,119,98,53
P12,266,271,287
P13,219,189,342
P14,127,172,323
P15,660,168,314
P16,382,165,158
P17,255,133,295
P18,283,80,371
P19,421,156,326
P20,323,238,171
P21,437,88,459
P22,443,106,331
P23,175,151,277
P24,527,107,87
P25,377,119,473
P26,641,106,349
P27,247,15,323
P28,690,80,359
P29,383,96,326
P30,353,65,26
P31,678,80,298
P32,256,91,296
P33,158,83,444
P34,99,191,265
P35,462,45,358
P36,122,163,283
P37,628,199,413
P38,653,243,12
P39,712,221,122
P40,341,126,312
P41,431,15,292
P42,647,135,329
P43,341,191,240
P44,678,66,199
P45,568,143,147
P46,589,213,409
P47,569,205,401
P48,406,52,373
P49,554,277,295
P50,519,1,53
P51,350,78,20
P52,480,74,130
P53,201,189,362
P54,34,100,450
P55,623,173,422
P56,523,241,460
P57,529,274,294
P58,695,68,274
P59,489,175,404
P60,485,14,64
P61,6,69,224
P62,229,175,338
P63,12,219,49
P64,80,144,85
P65,221,78,265
P66,320,20,346
P67,554,221,137
P68,525,33,450
P69,211,228,449
P70,510,83,382
P71,642,80,332
P72,451,190,395
P73,681,254,0
P74,311,23,45
P75,112,26,307
P76,677,0,292
P77,210,72,143
P78,239,93,234
P79,639,220,302
P80,58,11,118
P81,450,79,215
P82,515,125,380
P83,535,159,126
P84,264,262,313
P85,526,284,270
P86,88,284,233
P87,706,133,67
P88,323,81,156
P89,189,103,333
P90,630,223,82
P91,20,53,160
P92,22,9,50
P93,450,82,365
P94,659,215,215
P95,627,28,247
P96,590,172,407
P97,176,261,329
P98,43,19,73
P99,252,30,197
P100,100,135,459
